Category,Product Name,Location,Price,Overall Rating,Number Sold,Total Review,Customer Rating,Customer Review,Sentiment,Emotion,Cleaned_Review,Slang_Replaced,Stopwords_Removed,Stemming
Body Care,Dove Body Wash Deeply Nourishing Refill 850 Ml,Kab. Tangerang,72300,5.0,9695,3399,1,"BELI PEPSODENT PAKET 4 PCS TAPI YG DIKIRIM 2, DI COMPLAIN MALAH MINTA VIDEO UNBOXING. GUE TAU ISINYA KURANG KARNA GUE BUKA PAKETNYA! WEY KALO GUE TAU ISI PAKETNYA KURANG UDAH GUE BUAT VIDEO DARI AWAL!!",Negative,Anger,beli pepsodent paket pcs tapi yg dikirim di complain malah minta video unboxing gue tau isinya kurang karna gue buka paketnya wey kalo gue tau isi paketnya kurang udah gue buat video dari awal,beli pepsodent paket pcs tapi yang dikirim di complain malah meminta video unboxing gue tau isinya kurang karena gue buka paketnya wey kalo gue tau isi paketnya kurang sudah gue buat video dari awal,beli pepsodent paket pcs dikirim complain meminta video unboxing gue tau isinya kurang gue buka paketnya wey kalo gue tau isi paketnya kurang gue video awal,beli pepsodent paket pcs kirim complain minta video unboxing gue tau isi kurang gue buka paket wey kalo gue tau isi paket kurang gue video awal
Body Care,tawas cair deodorant spray penghilang bau badan dan ketiak hitam,Kota Tangerang,16000,4.9,7699,2040,1,Ah apaan ga ngaruh apa2 yang ada bikin iritasi!!! Gatal gatal merah jadinya,Negative,Anger,ah apaan ga ngaruh apa yang ada bikin iritasi gatal gatal merah jadinya,ah apaan enggak ngaruh apa yang ada bikin iritasi gatal gatal merah jadinya,ah ngaruh bikin iritasi gatal gatal merah jadinya,ah ngaruh bikin iritasi gatal gatal merah jadi
Body Care,Kahf Humbling Forest Eau de Toilette 35 ml,Jakarta Selatan,70000,4.9,17700,11800,1,BELANJA BERTURUT TURUT 2HR.. SELLER TIDAK RAMAH.. TRAKHIR KALI BLANJA DI SINI.. NOT RECOMMENT,Negative,Anger,belanja berturut turut hr seller tidak ramah trakhir kali blanja di sini not recomment,belanja berturut turut hari seller tidak ramah trakhir kali blanja di sini not recomment,belanja berturut turut hari seller ramah trakhir kali blanja not recomment,belanja turut turut hari seller ramah trakhir kali blanja not recomment
Body Care,Kahf Humbling Forest Eau de Toilette 35 ml,Jakarta Selatan,70000,4.9,17700,11800,1,wangi nya kyk parfum Refill mirahan ??,Negative,Anger,wangi nya kyk parfum refill mirahan,wangi nya kayak parfum refill mirahan,wangi nya kayak parfum refill mirahan,wangi nya kayak parfum refill mirah
Body Care,Kahf Revered Oud Eau de Toilette 35 ml,Jakarta Selatan,70000,4.9,32500,20600,1,"beli 2 buah, tapi hanya dikirim 1 dan dengan enaknya ngomong pengembalian dana. be careful, jangan2 memang tokonya sengaja ??",Negative,Anger,beli buah tapi hanya dikirim dan dengan enaknya ngomong pengembalian dana be careful jangan memang tokonya sengaja,beli buah tapi hanya dikirim dan dengan enaknya mengomong pengembalian dana be careful jangan memang tokonya sengaja,beli buah dikirim enaknya mengomong pengembalian dana be careful tokonya sengaja,beli buah kirim enak omong kembali dana be careful toko sengaja
Body Care,Kahf Revered Oud Eau de Toilette 35 ml,Jakarta Selatan,70000,4.9,32500,20600,1,"baunya gak enak, ini siapa yang rancang? suruh belajar coba parfum2 yg enak",Negative,Anger,baunya gak enak ini siapa yang rancang suruh belajar coba parfum yg enak,baunya enggak enak ini siapa yang rancang suruh belajar coba parfum yang enak,baunya enak rancang suruh belajar coba parfum enak,bau enak rancang suruh ajar coba parfum enak
Body Care,SCARLETT WHITENING BODYLOTION by Felicya Angelista - CHARMING,Jakarta Utara,50000,4.9,129300,19800,1,"kak pesanan saya yang satu di batalkan, tapi uang tidak di kembalikan !!!!!!",Negative,Anger,kak pesanan saya yang satu di batalkan tapi uang tidak di kembalikan,kak pesanan saya yang satu di batalkan tapi uang tidak di kembalikan,kak pesanan satu batalkan uang kembalikan,kak pesan satu batal uang kembali
Body Care,SCARLETT WHITENING BODYLOTION by Felicya Angelista - CHARMING,Jakarta Utara,50000,4.9,129300,19800,1,PENGIRIMAN LAMA! MINTA DICANCEL TP MAKSA TTP NGIRIM!!!,Negative,Anger,pengiriman lama minta dicancel tp maksa ttp ngirim,pengiriman lama meminta dicancel tapi maksa tetap mengirim,pengiriman meminta dicancel maksa tetap mengirim,kirim minta dicancel maksa tetap kirim
Body Care,SCARLETT WHITENING BODYLOTION by Felicya Angelista - CHARMING,Jakarta Utara,50000,4.9,129300,19800,1,harga cuma 50rb kurang barang 2pcs tp alasan trlalu byk ga mau ganti.. toko ini kurang ajar,Negative,Anger,harga cuma rb kurang barang pcs tp alasan trlalu byk ga mau ganti toko ini kurang ajar,harga cuma ribu kurang barang pcs tapi alasan terlalu banyak enggak mau ganti toko ini kurang ajar,harga ribu kurang barang pcs alasan ganti toko kurang ajar,harga ribu kurang barang pcs alas ganti toko kurang ajar
Body Care,SCARLETT WHITENING BODYLOTION by Felicya Angelista - CHARMING,Jakarta Utara,50000,4.9,129300,19800,1,toko ini kurang ajar kasih barang kurang banyak alasan,Negative,Anger,toko ini kurang ajar kasih barang kurang banyak alasan,toko ini kurang ajar kasih barang kurang banyak alasan,toko kurang ajar kasih barang kurang alasan,toko kurang ajar kasih barang kurang alas
Body Care,SCARLETT WHITENING BODYLOTION by Felicya Angelista - CHARMING,Jakarta Utara,50000,4.9,129300,19800,1,Penjual ANGKUH... yang namanya pembeli itu RAJA.. di layani sebagaimana mestinya.. KEPUASAN PEMBELI PRIORITAS UTAMA.. LAH LOH? ANGKUH SOMBONG.. MAKAN TUH DUET HARAM.. PERTAMA DAN TERAKHIR GUE BELANJA DI OLSHOP LOH CUIH!!!!,Negative,Anger,penjual angkuh yang namanya pembeli itu raja di layani sebagaimana mestinya kepuasan pembeli prioritas utama lah loh angkuh sombong makan tuh duet haram pertama dan terakhir gue belanja di olshop loh cuih,penjual angkuh yang namanya pembeli itu raja di layani sebagaimana mestinya kepuasan pembeli prioritas utama lah loh angkuh sombong makan tuh duet haram pertama dan terakhir gue belanja di olshop loh cuih,penjual angkuh namanya pembeli raja layani mestinya kepuasan pembeli prioritas utama loh angkuh sombong makan tuh duet haram pertama terakhir gue belanja olshop loh cuih,jual angkuh nama beli raja layan mesti puas beli prioritas utama loh angkuh sombong makan tuh duet haram pertama akhir gue belanja olshop loh cuih
Body Care,Sterilo Rapid Hand Sanitizer 500 mL Refill - Original,Kab. Bogor,90000,5.0,3361,1482,5,Wanginya tidak menyengat dan tidak lengket ditangan. Pengiriman cepat dan aman karena packing tebal pakai dus dan Buble wrap. Sudah langganan beli produk di sini. Recommended seller,Positive,Love,wanginya tidak menyengat dan tidak lengket ditangan pengiriman cepat dan aman karena packing tebal pakai dus dan buble wrap sudah langganan beli produk di sini recommended seller,wanginya tidak menyengat dan tidak lengket ditangan pengiriman cepat dan aman karena packing tebal pakai dus dan buble wrap sudah langganan beli produk di sini recommended seller,wanginya menyengat lengket ditangan pengiriman cepat aman packing tebal pakai dus buble wrap langganan beli produk recommended seller,wangi sengat lengket tang kirim cepat aman packing tebal pakai dus buble wrap langgan beli produk recommended seller
Body Care,Twinpack Instance Hand Sanitizer Alcohol 75% 500 ml,Kota Tangerang,128600,4.9,2501,1173,5,Packingnya rapi banget dan wrapnya tebal. Produk original. Dikasih bonus air diffuser. Thank you,Positive,Love,packingnya rapi banget dan wrapnya tebal produk original dikasih bonus air diffthank you,packingnya rapi banget dan wrapnya tebal produk original dikasih bonus air diffthank you,packingnya rapi banget wrapnya tebal produk original dikasih bonus air diffthank you,packingnya rapi banget wrapnya tebal produk original kasih bonus air diffthank you
Body Care,dr soap Hand Antiseptic Spray 60ml (Urban Shee),Kota Surabaya,45000,5.0,4983,1072,5,"Udah punya 3 botol dan 1 refill, beli lagi biar dpt botol baru yg ada sticker dermatologically tested nya",Positive,Love,udah punya botol dan refill beli lagi biar dpt botol baru yg ada sticker dermatologically tested nya,sudah punya botol dan refill beli lagi biar dapat botol baru yang ada sticker dermatologically tested nya,punya botol refill beli biar botol baru sticker dermatologically tested nya,punya botol refill beli biar botol baru sticker dermatologically tested nya
Body Care,dr soap Hand Antiseptic Spray 60ml (Urban Shee),Kota Surabaya,45000,5.0,4983,1072,5,"Mantap, kalau di cium aromanya sedikit ada perubahan dari yang sebelumnya.",Positive,Love,mantap kalau di cium aromanya sedikit ada perubahan dari yang sebelumnya,mantap kalau di cium aromanya sedikit ada perubahan dari yang sebelumnya,mantap cium aromanya perubahan,mantap cium aroma ubah
Body Care,Whisper Pembalut Wanita Regular Flow 40's,Jakarta Timur,50800,4.9,11700,4349,5,safely landed on the next day! masa expired pembalut masih lamaa di 2024. thank you so much ??,Positive,Love,safely landed on the next day masa expired pembalut masih lamaa di thank you so much,safely landed on the next day masa expired pembalut masih lamaa di thank you sok much,safely landed on the next day masa expired pembalut lamaa thank you sok much,safely landed on the next day masa expired balut lamaa thank you sok much
Body Care,dr soap Hand Antiseptic Spray 60ml (Urban Shee),Kota Surabaya,45000,5.0,4983,1072,5,"Selalu suka dengan dr soap,,,repeat order selalu beli disini",Positive,Love,selalu suka dengan dr soap repeat order selalu beli disini,selalu suka dengan dari soap repeat order selalu beli disini,suka soap repeat order beli,suka soap repeat order beli
Body Care,dr soap Hand Antiseptic Spray 60ml (Urban Shee),Kota Surabaya,45000,5.0,4983,1072,5,Udah banyak kali restock dan selalu kembali ke dr soap aja pdhl diluar sana banyak juga handsanitizer yg lain tapi yg trpercaya hanya dr soap deh ??,Positive,Love,udah banyak kali restock dan selalu kembali ke dr soap aja pdhl diluar sana banyak juga handsanitizer yg lain tapi yg trpercaya hanya dr soap deh,sudah banyak kali restock dan selalu kembali ke dari soap saja padahal diluar sana banyak juga handsanitizer yang lain tapi yang trpercaya hanya dari soap deh,kali restock kembali soap diluar handsanitizer trpercaya soap deh,kali restock kembali soap luar handsanitizer trpercaya soap deh
Body Care,dr soap Hand Antiseptic Spray 60ml (Urban Shee),Kota Surabaya,45000,5.0,4983,1072,5,Hand sanitizernya oke banget. Wanginya enak & bikin tangan jadi halus abis dipakai. Semoga pas kulitku lagi sensitif ga bikin sakit ??,Positive,Love,hand sanitizernya oke banget wanginya enak bikin tangan jadi halus abis dipakai semoga pas kulitku lagi sensitif ga bikin sakit,hand sanitizernya oke banget wanginya enak bikin tangan jadi halus habis dipakai semoga pas kulitku lagi sensitif enggak bikin sakit,hand sanitizernya oke banget wanginya enak bikin tangan jadi halus habis dipakai semoga pas kulitku sensitif bikin sakit,hand sanitizernya oke banget wangi enak bikin tangan jadi halus habis pakai moga pas kulit sensitif bikin sakit
Body Care,Folti baffi cream wajah penumbuh jenggot jambang kumis pria sdh BPOM,Jakarta Selatan,193000,4.8,1362,585,5,"recommended seller!! barang udah sampai, packing rapih, barang sesuai deskripsi, thanks ya",Positive,Love,recommended seller barang udah sampai packing rapih barang sesuai deskripsi thanks ya,recommended seller barang sudah sampai packing rapi barang sesuai deskripsi thanks ya,recommended seller barang packing rapi barang sesuai deskripsi thanks ya,recommended seller barang packing rapi barang sesuai deskripsi thanks ya
Body Care,Folti baffi cream wajah penumbuh jenggot jambang kumis pria sdh BPOM,Jakarta Selatan,193000,4.8,1362,585,5,cepatt nya ga ada ahlakkk fast respon barang besttt moga cocokkk,Positive,Love,cepatt nya ga ada ahlak fast respon barang best moga cocok,cepatt nya enggak ada ahlak fast respon barang best moga cocok,cepatt nya ahlak fast respon barang best moga cocok,cepatt nya ahlak fast respon barang best moga cocok
Body Care,Folti baffi cream wajah penumbuh jenggot jambang kumis pria sdh BPOM,Jakarta Selatan,193000,4.8,1362,585,5,"Pengiriman cepet bgt, dapat bonus pouch, packing rapi dan sangat memuaskan, lanjutkan kak pelayanan baiknya kalo bisa tingkatkan. terima kasih.",Positive,Love,pengiriman cepet bgt dapat bonus pouch packing rapi dan sangat memuaskan lanjutkan kak pelayanan baiknya kalo bisa tingkatkan terima kasih,pengiriman cepat banget dapat bonus pouch packing rapi dan sangat memuaskan lanjutkan kak pelayanan baiknya kalo bisa tingkatkan terima kasih,pengiriman cepat banget bonus pouch packing rapi memuaskan lanjutkan kak pelayanan baiknya kalo tingkatkan terima kasih,kirim cepat banget bonus pouch packing rapi muas lanjut kak layan baik kalo tingkat terima kasih
Body Care,Lux Hand Sanitizer Jasmine 50ml,Kab. Tangerang,29100,4.9,143400,5572,5,"packingnya rapihh bangetttt, aman perjalanan jabodetabek",Positive,Love,packingnya rapihh banget aman perjalanan jabodetabek,packingnya rapihh banget aman perjalanan jabodetabek,packingnya rapihh banget aman perjalanan jabodetabek,packingnya rapihh banget aman jalan jabodetabek
Body Care,Lux Hand Sanitizer Jasmine 50ml,Kab. Tangerang,29100,4.9,143400,5572,5,"Produk sampai dengan cepaat dan amaan, thank youu ????",Positive,Love,produk sampai dengan cepaat dan amaan thank youu,produk sampai dengan cepaat dan amaan thank youu,produk cepaat amaan thank youu,produk cepaat ama thank youu
Body Care,dr soap Hand Antiseptic Spray 60ml (Urban Shee),Kota Surabaya,45000,5.0,4983,1072,5,Sudah purchase kedua kali dan cocok dengan kulit tangan yg agak sensitif.,Positive,Love,sudah purchase kedua kali dan cocok dengan kulit tangan yg agak sensitif,sudah purchase kedua kali dan cocok dengan kulit tangan yang agak sensitif,purchase kedua kali cocok kulit tangan sensitif,purchase dua kali cocok kulit tangan sensitif
Body Care,Lifebuoy Shampo Anti Ketombe Anti Dandruff Milknutristrong 900Ml,Kab. Tangerang,76900,4.9,10000,4973,5,mantap banget barangnya sesuai deskripsi.harga juga murah. pengemasan aman bgt.pake dus sama wrap. next time order lagi. sukses terus lapaknya gan.,Positive,Love,mantap banget barangnya sesuai deskripsi harga juga murah pengemasan aman bgt pake dus sama wrap next time order lagi sukses terus lapaknya gan,mantap banget barangnya sesuai deskripsi harga juga murah pengemasan aman banget pakai dus sama wrap next time order lagi sukses terus lapaknya gan,mantap banget barangnya sesuai deskripsi harga murah pengemasan aman banget pakai dus wrap next time order sukses terus lapaknya gan,mantap banget barang sesuai deskripsi harga murah emas aman banget pakai dus wrap next time order sukses terus lapak gan
Body Care,Lifebuoy Shampo Anti Ketombe Anti Dandruff Milknutristrong 900Ml,Kab. Tangerang,76900,4.9,10000,4973,5,"langganan bulanan, recommended????? i",Positive,Love,langganan bulanan recommended ,langganan bulanan recommended,langganan bulanan recommended,langgan bulan recommended
Body Care,Lifebuoy Shampo Anti Ketombe Anti Dandruff Milknutristrong 900Ml,Kab. Tangerang,76900,4.9,10000,4973,5,pengiriman cepat banget pokonya the best sukses selalu ??????????,Positive,Love,pengiriman cepat banget pokonya the best sukses selalu,pengiriman cepat banget pokoknya the best sukses selalu,pengiriman cepat banget pokoknya the best sukses,kirim cepat banget pokok the best sukses
Body Care,L'Oreal Professionnel Serioxyl Denser Hair Serum Rambut Rontok,Jakarta Barat,381000,4.9,3517,1804,5,Bagusss ngga pernah mengecewakan packingnya aman banget. Kemasan bar sekarang ??????????,Positive,Love,bagus ngga pernah mengecewakan packingnya aman banget kemasan bar sekarang,bagus enggak pernah mengecewakan packingnya aman banget kemasan bar sekarang,bagus mengecewakan packingnya aman banget kemasan bar,bagus kecewa packingnya aman banget kemas bar
Body Care,L'Oreal Professionnel Hairspa Deep Nourishing Shampoo - Rambut Kering,Jakarta Barat,144000,4.9,1183,566,5,"Mantap barangg cepeatt sampaii barang bagus penjual nyaa fast respons banget, packingan oke banget aman sampai di tempatt.. barangnya kerennn bangettt",Positive,Love,mantap barangg cepeatt sampaii barang bagus penjual nyaa fast respons banget packingan oke banget aman sampai di tempatt barangnya keren banget,mantap barangg cepeatt sampaii barang bagus penjual nya fast respons banget packingan oke banget aman sampai di tempatt barangnya keren banget,mantap barangg cepeatt sampaii barang bagus penjual nya fast respons banget packingan oke banget aman tempatt barangnya keren banget,mantap barangg cepeatt sampai barang bagus jual nya fast respons banget packingan oke banget aman tempatt barang keren banget
Body Care,L'Oreal Professionnel Hairspa Deep Nourishing Shampoo - Rambut Kering,Jakarta Barat,144000,4.9,1183,566,5,top markotoooopppp,Positive,Love,top markotop,top markotop,top markotop,top markotop
Body Care,L'Oreal Professionnel Hairspa Deep Nourishing Shampoo - Rambut Kering,Jakarta Barat,144000,4.9,1183,566,5,"barang aman diterima, yg paling seneng wanginya enak banget ??",Positive,Love,barang aman diterima yg paling seneng wanginya enak banget,barang aman diterima yang paling senang wanginya enak banget,barang aman diterima senang wanginya enak banget,barang aman terima senang wangi enak banget
Body Care,L'Oreal Professionnel Hairspa Deep Nourishing Shampoo - Rambut Kering,Jakarta Barat,144000,4.9,1183,566,5,"Sukaaaa Banget, Banget, Banget, Bangeeeeettt ????????",Positive,Love,suka banget banget banget banget,suka banget banget banget banget,suka banget banget banget banget,suka banget banget banget banget
Body Care,L'Oreal Professionnel Hairspa Deep Nourishing Shampoo - Rambut Kering,Jakarta Barat,144000,4.9,1183,566,5,"wangi nya enak banget, bener kaya creambath salon",Positive,Love,wangi nya enak banget bener kaya creambath salon,wangi nya enak banget benar kayak creambath salon,wangi nya enak banget benar kayak creambath salon,wangi nya enak banget benar kayak creambath salon
Body Care,L'Oreal Professionnel Hairspa Deep Nourishing Shampoo - Rambut Kering,Jakarta Barat,144000,4.9,1183,566,5,cinta bangettt sama produk ini. rambut jd lembut dan wangi bangettss. always pake shampoo ini mah exp 2024 dan packingan mantap,Positive,Love,cinta banget sama produk ini rambut jd lembut dan wangi bangettss always pake shampoo ini mah exp dan packingan mantap,cinta banget sama produk ini rambut jadi lembut dan wangi bangettss always pakai shampoo ini mah exp dan packingan mantap,cinta banget produk rambut jadi lembut wangi bangettss always pakai shampoo mah exp packingan mantap,cinta banget produk rambut jadi lembut wangi bangettss always pakai shampoo mah exp packingan mantap
Body Care,Rudy Hady Suwarno Cosmetics Hair Growth Serum,Jakarta Timur,88910,4.9,2348,1125,5,"Belanja ke dua kalinya. Barang ori, packing super aman. Mantap gan�.??????",Positive,Love,belanja ke dua kalinya barang ori packing super aman mantap gan,belanja ke dua kalinya barang orisinal packing super aman mantap gan,belanja dua kalinya barang orisinal packing super aman mantap gan,belanja dua kali barang orisinal packing super aman mantap gan
Body Care,MOKERU KERATIN HAIR COLOR SHAMPOO - DARK BROWN,Kab. Tangerang,150000,5.0,599,366,5,"Pesan kemarin sore, hari ini uda sampai, packing super aman, dobel bubble wraps+dus, mantapppp...?? Nanti saya edit ulasannya, kalau sudah coba...terima kasih ??",Positive,Love,pesan kemarin sore hari ini uda sampai packing super aman dobel bubble wraps dus mantap nanti saya edit ulasannya kalau sudah coba terima kasih,pesan kemarin sore hari ini sudah sampai packing super aman dobel bubble wraps dus mantap nanti saya edit ulasannya kalau sudah coba terima kasih,pesan kemarin sore hari packing super aman dobel bubble wraps dus mantap edit ulasannya coba terima kasih,pesan kemarin sore hari packing super aman dobel bubble wraps dus mantap edit ulas coba terima kasih
Body Care,MOKERU KERATIN HAIR COLOR SHAMPOO - DARK BROWN,Kab. Tangerang,150000,5.0,599,366,5,"admin cekatan ,barang sampai tepat waktu ,paking rapi ,????????",Positive,Love,admin cekatan barang sampai tepat waktu paking rapi,admin cekatan barang sampai tepat waktu paking rapi,admin cekatan barang tepat waktu paking rapi,admin cekat barang tepat waktu paking rapi
Body Care,MOKERU KERATIN HAIR COLOR SHAMPOO - DARK BROWN,Kab. Tangerang,150000,5.0,599,366,5,Gercep banget adminnya nih. TOP lah pokoknya????,Positive,Love,gercep banget adminnya nih top lah pokoknya,gercep banget adminnya nih top lah pokoknya,gercep banget adminnya nih top pokoknya,gercep banget adminnya nih top pokok
Body Care,MOKERU KERATIN HAIR COLOR SHAMPOO - DARK BROWN,Kab. Tangerang,150000,5.0,599,366,5,Belum dicoba semoga lebih bagus hasilnya drpd yg biasa shampoo noni mokeru. packing mantull dan respon seller cepat. Goodlah????????,Positive,Love,belum dicoba semoga lebih bagus hasilnya drpd yg biasa shampoo noni mokeru packing mantull dan respon seller cepat goodlah,belum dicoba semoga lebih bagus hasilnya daripada yang biasa shampoo noni mokeru packing mantull dan respon seller cepat goodlah,dicoba semoga bagus hasilnya shampoo noni mokeru packing mantull respon seller cepat goodlah,coba moga bagus hasil shampoo noni mokeru packing mantull respon seller cepat goodlah
Body Care,Beli 2 Gratis 1 - Original Source Body Wash Mint Tea Tree,Kab. Tangerang,79900,5.0,1957,930,5,"Selalu suka dengan sabun ini, enak dan segar� apagi dipakai setelah olahraga",Positive,Love,selalu suka dengan sabun ini enak dan segar apagi dipakai setelah olahraga,selalu suka dengan sabun ini enak dan segar apagi dipakai setelah olahraga,suka sabun enak segar apagi dipakai olahraga,suka sabun enak segar apagi pakai olahraga
Body Care,Beli 2 Gratis 1 - Original Source Body Wash Mint Tea Tree,Kab. Tangerang,79900,5.0,1957,930,5,Selalu suka sama body wash ini ??,Positive,Love,selalu suka sama body wash ini,selalu suka sama body wash ini,suka body wash,suka body wash
Body Care,Beli 2 Gratis 1 - Original Source Body Wash Mint Tea Tree,Kab. Tangerang,79900,5.0,1957,930,5,Beli di Official Store tgl 22 Feb 22 eh 23 Feb udh sampai di siang hari ???? Cepat banget ???? Thank you bangettttt cussons ???????? Dapet harga flass sale jd murah ??,Positive,Love,beli di official store tgl feb eh feb udh sampai di siang hari cepat banget thank you banget cussons dapet harga flass sale jd murah,beli di official store tanggal feb eh feb sudah sampai di siang hari cepat banget thank you banget cussons dapat harga flass sale jadi murah,beli official store tanggal feb eh feb siang hari cepat banget thank you banget cussons harga flass sale jadi murah,beli official store tanggal feb eh feb siang hari cepat banget thank you banget cussons harga flass sale jadi murah
Body Care,Beli 2 Gratis 1 - Original Source Body Wash Mint Tea Tree,Kab. Tangerang,79900,5.0,1957,930,5,SABUN NYAAA SETELAH DI PAKEE MINT NYA KERASAA BANGETTT ENK SIH HABIS MANDI KYK DINGIN GITU,Positive,Love,sabun nya setelah di pakee mint nya kerasaa banget enk sih habis mandi kyk dingin gitu,sabun nya setelah di pakee mint nya kerasaa banget enak sih habis mandi kayak dingin begitu,sabun nya pakee mint nya kerasaa banget enak sih habis mandi kayak dingin,sabun nya pakee mint nya kerasaa banget enak sih habis mandi kayak dingin
Body Care,Beli 2 Gratis 1 - Original Source Body Wash Mint Tea Tree,Kab. Tangerang,79900,5.0,1957,930,5,"dari dulu emang suka dg efek 'nyesss ... adem' pakai sabun ini. apalagi sdg promo beli 2 dapat 3. brg terbungkus rapi dg bubble wrap, aman sampai diterima.",Positive,Love,dari dulu emang suka dg efek nyes adem pakai sabun ini apalagi sdg promo beli dapat brg terbungkus rapi dg bubble wrap aman sampai diterima,dari dulu memang suka dengan efek nyes adem pakai sabun ini apalagi sedang promo beli dapat bareng terbungkus rapi dengan bubble wrap aman sampai diterima,suka efek nyes adem pakai sabun promo beli bareng terbungkus rapi bubble wrap aman diterima,suka efek nyes adem pakai sabun promo beli bareng bungkus rapi bubble wrap aman terima
Body Care,dr soap Hand Antiseptic Spray 60ml (Urban Shee),Kota Surabaya,45000,5.0,4983,1072,5,Fast resp seller pengiriman cepat packaging rapihhh aman barang lengkap sesuaii thankss a lott????,Positive,Love,fast resp seller pengiriman cepat packaging rapih aman barang lengkap sesuaii thankss  lott,fast resp seller pengiriman cepat packaging rapi aman barang lengkap sesuaii thankss lott,fast resp seller pengiriman cepat packaging rapi aman barang lengkap sesuaii thankss lott,fast resp seller kirim cepat packaging rapi aman barang lengkap sesuai thankss lott
Body Care,Beli 2 Gratis 1 - Original Source Body Wash Mint Tea Tree,Kab. Tangerang,79900,5.0,1957,930,5,"Seneng banget dapet best deal beli 2 gratis 1 gini. Produk dipastikan original. Pengemasan cepat, dan sangat aman krn selain masih dalam packaging plastik, masih ditambah extra protection pake bubble wrap tebel. Terus dikasih bonus susu 2 dus juga walau akhirnya harus kasih ke temen karena belum punya baby hehe. Overall thanks a lot seller! ??",Positive,Love,seneng banget dapet best deal beli gratis gini produk dipastikan original pengemasan cepat dan sangat aman krn selain masih dalam packaging plastik masih ditambah extra protection pake bubble wrap tebel terus dikasih bonus susu dus juga walau akhirnya harus kasih ke temen karena belum punya baby hehe overall thanks  lot seller,senang banget dapat best deal beli gratis begini produk dipastikan original pengemasan cepat dan sangat aman karena selain masih dalam packaging plastik masih ditambah extra protection pakai bubble wrap tebal terus dikasih bonus susu dus juga walau akhirnya harus kasih ke teman karena belum punya baby hehe overall thanks lot seller,senang banget best deal beli gratis produk dipastikan original pengemasan cepat aman packaging plastik ditambah extra protection pakai bubble wrap tebal terus dikasih bonus susu dus kasih teman punya baby hehe overall thanks lot seller,senang banget best deal beli gratis produk pasti original emas cepat aman packaging plastik tambah extra protection pakai bubble wrap tebal terus kasih bonus susu dus kasih teman punya baby hehe overall thanks lot seller
Body Care,Beli 2 Gratis 1 - Original Source Body Wash Mint Tea Tree,Kab. Tangerang,79900,5.0,1957,930,5,"dabest lah pokokmya, pengiriman ke lampung cuma 3 hari. prosesnya jg gercep banget! Puas teruuuus, ngga pernah kecewa sm original source dari dulu, mantap??",Positive,Love,dabest lah pokokmya pengiriman ke lampung cuma hari prosesnya jg gercep banget puas terus ngga pernah kecewa sm original source dari dulu mantap,dabest lah pokokmya pengiriman ke lampung cuma hari prosesnya juga gercep banget puas terus enggak pernah kecewa sama original source dari dulu mantap,dabest pokokmya pengiriman lampung hari prosesnya gercep banget puas terus kecewa original source mantap,dabest pokokmya kirim lampung hari proses gercep banget puas terus kecewa original source mantap
Body Care,Beli 2 Gratis 1 - Original Source Body Wash Mint Tea Tree,Kab. Tangerang,79900,5.0,1957,930,5,"Baru co beberapa jam kemudian udah dipacking, pengiriman super cepet dan yang penting produk aman ga ada yang tumpah?ini sabun oke banget buat nyembuhin jerawat badan, plisss jangan discontinue yaaaaa. Mintnya seger bgtttt",Positive,Love,baru co beberapa jam kemudian udah dipacking pengiriman super cepet dan yang penting produk aman ga ada yang tumpah ini sabun oke banget buat nyembuhin jerawat badan plis jangan discontinue ya mintnya seger bgt,baru cowok beberapa jam kemudian sudah dipacking pengiriman super cepat dan yang penting produk aman enggak ada yang tumpah ini sabun oke banget buat nyembuhin jerawat badan plis jangan discontinue ya mintnya segar banget,baru cowok jam dipacking pengiriman super cepat penting produk aman tumpah sabun oke banget nyembuhin jerawat badan plis discontinue ya mintnya segar banget,baru cowok jam dipacking kirim super cepat penting produk aman tumpah sabun oke banget nyembuhin jerawat badan plis discontinue ya mintnya segar banget
Body Care,Beli 2 Gratis 1 - Original Source Body Wash Mint Tea Tree,Kab. Tangerang,79900,5.0,1957,930,5,suka banget sama original source yang mint,Positive,Love,suka banget sama original source yang mint,suka banget sama original source yang mint,suka banget original source mint,suka banget original source mint
Body Care,Beli 2 Gratis 1 - Original Source Body Wash Mint Tea Tree,Kab. Tangerang,79900,5.0,1957,930,5,Pokoknya suka bgt lah ama sabun ini,Positive,Love,pokoknya suka bgt lah ama sabun ini,pokoknya suka banget lah sama sabun ini,pokoknya suka banget sabun,pokok suka banget sabun
Body Care,Twinpack Instance Hand Sanitizer Alcohol 75% 500 ml,Kota Tangerang,128600,4.9,2501,1173,1,delivery yang harus 2 karena twinpack tapi yg didelivery satu.. sampai harus buat komplain dan tidak dapat kompensasi apa2.. the first and the last belanja sini.. official store tapi kek gitu...,Negative,Fear,delivery yang harus karena twinpack tapi yg didelivery satu sampai harus buat komplain dan tidak dapat kompensasi apa the first and the last belanja sini official store tapi kek gitu,delivery yang harus karena twinpack tapi yang didelivery satu sampai harus buat komplain dan tidak dapat kompensasi apa the first and the last belanja sini official store tapi kayak begitu,delivery twinpack didelivery satu komplain kompensasi the first and the last belanja official store kayak,delivery twinpack didelivery satu komplain kompensasi the first and the last belanja official store kayak
